"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ITA","HUR","TOT","PC_LF","A","2018",10.675,"P"
"ITA","HUR","TOT","PC_LF","A","2019",10.025,"P"
"JPN","HUR","TOT","PC_LF","A","1994",2.891667,
"JPN","HUR","TOT","PC_LF","A","1995",3.15,
"JPN","HUR","TOT","PC_LF","A","1996",3.35,
"JPN","HUR","TOT","PC_LF","A","1997",3.4,
"JPN","HUR","TOT","PC_LF","A","1998",4.108333,
"JPN","HUR","TOT","PC_LF","A","1999",4.683333,
"JPN","HUR","TOT","PC_LF","A","2000",4.716667,
"JPN","HUR","TOT","PC_LF","A","2001",5.033333,
"JPN","HUR","TOT","PC_LF","A","2002",5.375,
"JPN","HUR","TOT","PC_LF","A","2003",5.258333,
"JPN","HUR","TOT","PC_LF","A","2004",4.716667,
"JPN","HUR","TOT","PC_LF","A","2005",4.425,
"JPN","HUR","TOT","PC_LF","A","2006",4.141667,
"JPN","HUR","TOT","PC_LF","A","2007",3.841667,
"JPN","HUR","TOT","PC_LF","A","2008",3.991667,
"JPN","HUR","TOT","PC_LF","A","2009",5.066667,
"JPN","HUR","TOT","PC_LF","A","2010",5.05,
"JPN","HUR","TOT","PC_LF","A","2011",4.583333,
"JPN","HUR","TOT","PC_LF","A","2012",4.35,
"JPN","HUR","TOT","PC_LF","A","2013",4.025,
"JPN","HUR","TOT","PC_LF","A","2014",3.591667,
"JPN","HUR","TOT","PC_LF","A","2015",3.375,
"JPN","HUR","TOT","PC_LF","A","2016",3.116667,
"JPN","HUR","TOT","PC_LF","A","2017",2.808333,
"JPN","HUR","TOT","PC_LF","A","2018",2.441667,
"JPN","HUR","TOT","PC_LF","A","2019",2.35,
"GBR","HUR","TOT","PC_LF","A","1994",9.512666,
"GBR","HUR","TOT","PC_LF","A","1995",8.638574,
"GBR","HUR","TOT","PC_LF","A","1996",8.113807,
"GBR","HUR","TOT","PC_LF","A","1997",6.98159,
"GBR","HUR","TOT","PC_LF","A","1998",6.26345,
"GBR","HUR","TOT","PC_LF","A","1999",5.979465,
"GBR","HUR","TOT","PC_LF","A","2000",5.458603,
"GBR","HUR","TOT","PC_LF","A","2001",5.09697,
"GBR","HUR","TOT","PC_LF","A","2002",5.184958,
"GBR","HUR","TOT","PC_LF","A","2003",5.007329,
"GBR","HUR","TOT","PC_LF","A","2004",4.747302,
"GBR","HUR","TOT","PC_LF","A","2005",4.823375,
"GBR","HUR","TOT","PC_LF","A","2006",5.417598,
"GBR","HUR","TOT","PC_LF","A","2007",5.32914,
"GBR","HUR","TOT","PC_LF","A","2008",5.68196,
"GBR","HUR","TOT","PC_LF","A","2009",7.611054,
"GBR","HUR","TOT","PC_LF","A","2010",7.867382,
"GBR","HUR","TOT","PC_LF","A","2011",8.106182,
"GBR","HUR","TOT","PC_LF","A","2012",7.965578,
"GBR","HUR","TOT","PC_LF","A","2013",7.603673,
"GBR","HUR","TOT","PC_LF","A","2014",6.178483,
"GBR","HUR","TOT","PC_LF","A","2015",5.383935,
"GBR","HUR","TOT","PC_LF","A","2016",4.892704,
"GBR","HUR","TOT","PC_LF","A","2017",4.401906,
"GBR","HUR","TOT","PC_LF","A","2018",4.080814,
"GBR","HUR","TOT","PC_LF","A","2019",3.833521,
"USA","HUR","TOT","PC_LF","A","1994",6.083333,
"USA","HUR","TOT","PC_LF","A","1995",5.608333,
"USA","HUR","TOT","PC_LF","A","1996",5.416667,
"USA","HUR","TOT","PC_LF","A","1997",4.95,
"USA","HUR","TOT","PC_LF","A","1998",4.508333,
"USA","HUR","TOT","PC_LF","A","1999",4.216667,
"USA","HUR","TOT","PC_LF","A","2000",3.991667,
"USA","HUR","TOT","PC_LF","A","2001",4.733333,
"USA","HUR","TOT","PC_LF","A","2002",5.775,
"USA","HUR","TOT","PC_LF","A","2003",5.991667,
"USA","HUR","TOT","PC_LF","A","2004",5.533333,
"USA","HUR","TOT","PC_LF","A","2005",5.066667,
"USA","HUR","TOT","PC_LF","A","2006",4.616667,
"USA","HUR","TOT","PC_LF","A","2007",4.616667,
"USA","HUR","TOT","PC_LF","A","2008",5.775,
"USA","HUR","TOT","PC_LF","A","2009",9.266666,
"USA","HUR","TOT","PC_LF","A","2010",9.616667,
"USA","HUR","TOT","PC_LF","A","2011",8.95,
"USA","HUR","TOT","PC_LF","A","2012",8.066667,
"USA","HUR","TOT","PC_LF","A","2013",7.375,
"USA","HUR","TOT","PC_LF","A","2014",6.166667,
"USA","HUR","TOT","PC_LF","A","2015",5.291667,
"USA","HUR","TOT","PC_LF","A","2016",4.866667,
"USA","HUR","TOT","PC_LF","A","2017",4.35,
"USA","HUR","TOT","PC_LF","A","2018",3.9,
"USA","HUR","TOT","PC_LF","A","2019",3.666667,
